original,wind_speed,wind_dir,unit,timestamp_str,timestamp_obj
METAR VOGA 181330Z 34004KT 3000 HZ NSC 29/18 Q1012 NOSIG,4,340,KT,181330,2025-12-18 13:30:00.000000
METAR VAAU 181400Z 00000KT 3000 HZ NSC 20/12 Q1018 NOSIG,0,0,KT,181400,2025-12-18 14:00:00.000000
METAR VOGA 181430Z 08004KT 3000 HZ NSC 29/15 Q1014 NOSIG,4,80,KT,181430,2025-12-18 14:30:00.000000
METAR VOGA 181500Z 07008KT 3000 HZ NSC 27/13 Q1014 NOSIG,8,70,KT,181500,2025-12-18 15:00:00.000000
METAR VOGA 181530Z 02003KT 3000 HZ NSC 24/18 Q1014 NOSIG,3,20,KT,181530,2025-12-18 15:30:00.000000
METAR VOGA 181600Z 04004KT 3000 HZ NSC 24/17 Q1014 NOSIG,4,40,KT,181600,2025-12-18 16:00:00.000000
METAR VAJL 181630Z 16003KT 6000 NSC 13/07 Q1018,3,160,KT,181630,2025-12-18 16:30:00.000000
METAR VASD 181700Z 35001KT 3000 FU NSC 18/04 Q1019 NOSIG,1,350,KT,181700,2025-12-18 17:00:00.000000
METAR VOGA 181700Z 33002KT 3000 HZ NSC 23/14 Q1015 NOSIG,2,330,KT,181700,2025-12-18 17:00:00.000000
METAR VASD 181730Z 33001KT 3000 FU NSC 17/04 Q1019 NOSIG,1,330,KT,181730,2025-12-18 17:30:00.000000
METAR VASD 181730Z 33001KT 3000 FU NSC 17/04 Q1019 NOSIG,1,330,KT,181730,2025-12-18 17:30:00.000000
METAR VOGA 181800Z 35004KT 3000 HZ NSC 21/13 Q1014 NOSIG,4,350,KT,181800,2025-12-18 18:00:00.000000
METAR VOGA 181830Z 34004KT 3000 HZ NSC 22/12 Q1014 NOSIG,4,340,KT,181830,2025-12-18 18:30:00.000000
METAR VOGA 181900Z 35004KT 3000 HZ NSC 21/12 Q1014 NOSIG,4,350,KT,181900,2025-12-18 19:00:00.000000
METAR VOGA 181930Z 01005KT 3000 HZ NSC 21/11 Q1013 NOSIG,5,10,KT,181930,2025-12-18 19:30:00.000000
METAR VOGA 182000Z 02002KT 3000 HZ NSC 21/11 Q1013 NOSIG,2,20,KT,182000,2025-12-18 20:00:00.000000
METAR VOGA 182030Z 34006KT 3000 HZ NSC 20/11 Q1013 NOSIG,6,340,KT,182030,2025-12-18 20:30:00.000000
METAR VOGA 182100Z 01005KT 3000 HZ NSC 20/11 Q1013 NOSIG,5,10,KT,182100,2025-12-18 21:00:00.000000
METAR VOGA 182130Z 01005KT 3000 HZ NSC 21/11 Q1013 NOSIG,5,10,KT,182130,2025-12-18 21:30:00.000000
METAR VOGA 182200Z 35003KT 3000 HZ NSC 19/11 Q1013 NOSIG,3,350,KT,182200,2025-12-18 22:00:00.000000
METAR VOGA 182230Z 01005KT 3000 HZ NSC 19/11 Q1013 NOSIG,5,10,KT,182230,2025-12-18 22:30:00.000000
METAR VOGA 182300Z 01003KT 3000 HZ NSC 20/10 Q1013 NOSIG,3,10,KT,182300,2025-12-18 23:00:00.000000
METAR VOGA 182330Z 00000KT 3000 HZ NSC 19/10 Q1013 NOSIG,0,0,KT,182330,2025-12-18 23:30:00.000000
METAR VAAU 190000Z 00000KT 3000 BR NSC 12/08 Q1017 NOSIG,0,0,KT,190000,2025-12-19 00:00:00.000000
METAR VOGA 190030Z 06003KT 3000 HZ NSC 21/09 Q1014 NOSIG,3,60,KT,190030,2025-12-19 00:30:00.000000
METAR VOGA 190100Z 35003KT 3000 HZ NSC 20/09 Q1014 NOSIG,3,350,KT,190100,2025-12-19 01:00:00.000000
METAR VOGA 190130Z 35003KT 3000 HZ NSC 20/10 Q1014 NOSIG,3,350,KT,190130,2025-12-19 01:30:00.000000
METAR VOGA 190200Z 34004KT 3000 HZ NSC 20/10 Q1014 NOSIG,4,340,KT,190200,2025-12-19 02:00:00.000000
METAR VAJJ 190230Z 09003KT 3000 FU NSC 22/11 Q1014 NOSIG,3,90,KT,190230,2025-12-19 02:30:00.000000
METAR VAAU 190300Z 00000KT 3000 BR NSC 17/09 Q1019 NOSIG,0,0,KT,190300,2025-12-19 03:00:00.000000
METAR VAJJ 190330Z 08004KT 4000 FU NSC 26/09 Q1015 NOSIG,4,80,KT,190330,2025-12-19 03:30:00.000000
METAR VOSR 190400Z 06005KT 5000 FU SCT100 24/07 Q1015 NOSIG,5,60,KT,190400,2025-12-19 04:00:00.000000
METAR VOGA 190430Z 07012KT 4000 HZ NSC 27/12 Q1014 NOSIG,12,70,KT,190430,2025-12-19 04:30:00.000000
METAR VOGA 190500Z 04006KT 4000 HZ NSC 27/15 Q1014 NOSIG,6,40,KT,190500,2025-12-19 05:00:00.000000
METAR VASD 190530Z 12004KT 5000 FU NSC 23/03 Q1019 NOSIG,4,120,KT,190530,2025-12-19 05:30:00.000000
METAR VASD 190530Z 12004KT 5000 FU NSC 23/03 Q1019 NOSIG,4,120,KT,190530,2025-12-19 05:30:00.000000
METAR VASD 190600Z 08002KT 5000 FU NSC 24/03 Q1019 NOSIG,2,80,KT,190600,2025-12-19 06:00:00.000000
METAR VASD 190600Z 08002KT 5000 FU NSC 24/03 Q1019 NOSIG,2,80,KT,190600,2025-12-19 06:00:00.000000
METAR VAKP 190630Z 08010KT 6000 NSC 26/02 Q1017 NOSIG,10,80,KT,190630,2025-12-19 06:30:00.000000
METAR VASD 190700Z 10003KT 5000 FU NSC 25/01 Q1017 NOSIG,3,100,KT,190700,2025-12-19 07:00:00.000000
METAR VASD 190700Z 10003KT 5000 FU NSC 25/01 Q1017 NOSIG,3,100,KT,190700,2025-12-19 07:00:00.000000
METAR VASD 190730Z 09002KT 5000 FU NSC 26/02 Q1017 NOSIG,2,90,KT,190730,2025-12-19 07:30:00.000000
METAR VASD 190730Z 09002KT 5000 FU NSC 26/02 Q1017 NOSIG,2,90,KT,190730,2025-12-19 07:30:00.000000
METAR VASD 190800Z 10004KT 5000 FU NSC 26/M02 Q1016 NOSIG,4,100,KT,190800,2025-12-19 08:00:00.000000
METAR VASD 190800Z 10004KT 5000 FU NSC 26/M02 Q1016 NOSIG,4,100,KT,190800,2025-12-19 08:00:00.000000
METAR VASD 190830Z 05004KT 5000 FU NSC 27/00 Q1015 NOSIG,4,50,KT,190830,2025-12-19 08:30:00.000000
METAR VASD 190830Z 05004KT 5000 FU NSC 27/00 Q1015 NOSIG,4,50,KT,190830,2025-12-19 08:30:00.000000
METAR VASD 190900Z 04003KT 5000 FU NSC 27/00 Q1015 NOSIG,3,40,KT,190900,2025-12-19 09:00:00.000000
METAR VASD 190900Z 04003KT 5000 FU NSC 27/00 Q1015 NOSIG,3,40,KT,190900,2025-12-19 09:00:00.000000
METAR VASD 190930Z 02003KT 5000 FU NSC 28/00 Q1014 NOSIG,3,20,KT,190930,2025-12-19 09:30:00.000000
METAR VASD 190930Z 02003KT 5000 FU NSC 28/00 Q1014 NOSIG,3,20,KT,190930,2025-12-19 09:30:00.000000
METAR VASD 191000Z 04003KT 5000 FU NSC 28/00 Q1014 NOSIG,3,40,KT,191000,2025-12-19 10:00:00.000000
METAR VASD 191000Z 04003KT 5000 FU NSC 28/00 Q1014 NOSIG,3,40,KT,191000,2025-12-19 10:00:00.000000
METAR VASD 191030Z 02004KT 5000 FU NSC 28/00 Q1014 NOSIG,4,20,KT,191030,2025-12-19 10:30:00.000000
METAR VASD 191030Z 02004KT 5000 FU NSC 28/00 Q1014 NOSIG,4,20,KT,191030,2025-12-19 10:30:00.000000
METAR VASD 191100Z 03004KT 5000 FU NSC 28/00 Q1014 NOSIG,4,30,KT,191100,2025-12-19 11:00:00.000000
METAR VASD 191100Z 03004KT 5000 FU NSC 28/00 Q1014 NOSIG,4,30,KT,191100,2025-12-19 11:00:00.000000
METAR VASD 191130Z 03002KT 6000 NSC 27/01 Q1014 NOSIG,2,30,KT,191130,2025-12-19 11:30:00.000000
METAR VAJJ 191130Z 30005KT 5000 FU NSC 28/16 Q1010 NOSIG,5,300,KT,191130,2025-12-19 11:30:00.000000
METAR VASD 191200Z VRB02KT 6000 NSC 26/02 Q1014 NOSIG,2,0,KT,191200,2025-12-19 12:00:00.000000
METAR VASD 191200Z VRB02KT 6000 NSC 26/02 Q1014 NOSIG,2,0,KT,191200,2025-12-19 12:00:00.000000
METAR VASD 191230Z 01003KT 5000 FU NSC 24/03 Q1014 NOSIG,3,10,KT,191230,2025-12-19 12:30:00.000000
METAR VASD 191230Z 01003KT 5000 FU NSC 24/03 Q1014 NOSIG,3,10,KT,191230,2025-12-19 12:30:00.000000
METAR VOND 191300Z 04001KT 4000 HZ NSC 24/04 Q1014 NOSIG,1,40,KT,191300,2025-12-19 13:00:00.000000
METAR VASD 191300Z 36004KT 4000 FU NSC 22/02 Q1015 NOSIG,4,360,KT,191300,2025-12-19 13:00:00.000000
METAR VASD 191330Z 36004KT 4000 FU NSC 21/02 Q1015 NOSIG,4,360,KT,191330,2025-12-19 13:30:00.000000
METAR VASD 191330Z 36004KT 4000 FU NSC 21/02 Q1015 NOSIG,4,360,KT,191330,2025-12-19 13:30:00.000000
METAR VASD 191400Z 34004KT 4000 FU NSC 20/02 Q1016 NOSIG,4,340,KT,191400,2025-12-19 14:00:00.000000
METAR VASD 191400Z 34004KT 4000 FU NSC 20/02 Q1016 NOSIG,4,340,KT,191400,2025-12-19 14:00:00.000000
METAR VASD 191430Z 35005KT 4000 FU NSC 19/02 Q1016 NOSIG,5,350,KT,191430,2025-12-19 14:30:00.000000
METAR VASD 191430Z 35005KT 4000 FU NSC 19/02 Q1016 NOSIG,5,350,KT,191430,2025-12-19 14:30:00.000000
METAR VASD 191500Z 35003KT 4000 FU NSC 18/03 Q1016 NOSIG,3,350,KT,191500,2025-12-19 15:00:00.000000
METAR VASD 191500Z 35003KT 4000 FU NSC 18/03 Q1016 NOSIG,3,350,KT,191500,2025-12-19 15:00:00.000000
METAR VASD 191530Z 34004KT 4000 FU NSC 18/02 Q1016 NOSIG,4,340,KT,191530,2025-12-19 15:30:00.000000
METAR VASD 191530Z 34004KT 4000 FU NSC 18/02 Q1016 NOSIG,4,340,KT,191530,2025-12-19 15:30:00.000000
METAR VASD 191600Z 34003KT 4000 FU NSC 18/02 Q1017 NOSIG,3,340,KT,191600,2025-12-19 16:00:00.000000
METAR VASD 191600Z 34003KT 4000 FU NSC 18/02 Q1017 NOSIG,3,340,KT,191600,2025-12-19 16:00:00.000000
METAR VASD 191630Z 35004KT 4000 FU NSC 17/02 Q1017 NOSIG,4,350,KT,191630,2025-12-19 16:30:00.000000
METAR VASD 191630Z 35004KT 4000 FU NSC 17/02 Q1017 NOSIG,4,350,KT,191630,2025-12-19 16:30:00.000000
METAR VASD 191700Z 36003KT 3000 FU NSC 17/02 Q1017 NOSIG,3,360,KT,191700,2025-12-19 17:00:00.000000
METAR VASD 191700Z 36003KT 3000 FU NSC 17/02 Q1017 NOSIG,3,360,KT,191700,2025-12-19 17:00:00.000000
METAR VASD 191730Z 35002KT 3000 FU NSC 16/01 Q1017 NOSIG,2,350,KT,191730,2025-12-19 17:30:00.000000
METAR VASD 191730Z 35002KT 3000 FU NSC 16/01 Q1017 NOSIG,2,350,KT,191730,2025-12-19 17:30:00.000000
METAR VOGA 191800Z 08004KT 3000 HZ SCT080 24/13 Q1013 NOSIG,4,80,KT,191800,2025-12-19 18:00:00.000000
METAR VOGA 191830Z 00000KT 3000 HZ SCT080 20/15 Q1013 NOSIG,0,0,KT,191830,2025-12-19 18:30:00.000000
METAR VOGA 191900Z 01003KT 3000 HZ SCT080 20/15 Q1013 NOSIG,3,10,KT,191900,2025-12-19 19:00:00.000000
METAR VOGA 191930Z 01004KT 3000 HZ SCT080 21/14 Q1012 NOSIG,4,10,KT,191930,2025-12-19 19:30:00.000000
METAR VOGA 192000Z 07004KT 3000 HZ SCT080 23/10 Q1012 NOSIG,4,70,KT,192000,2025-12-19 20:00:00.000000
METAR VOGA 192030Z 07007KT 3000 HZ SCT080 25/08 Q1012 NOSIG,7,70,KT,192030,2025-12-19 20:30:00.000000
METAR VOGA 192100Z 07006KT 3000 HZ SCT080 24/08 Q1012 NOSIG,6,70,KT,192100,2025-12-19 21:00:00.000000
METAR VOGA 192130Z 01003KT 3000 HZ SCT080 20/12 Q1011 NOSIG,3,10,KT,192130,2025-12-19 21:30:00.000000
METAR VOGA 192157Z 36004KT 3000 HZ SCT080 20/12 Q1011 NOSIG,4,360,KT,192157,2025-12-19 21:57:00.000000
METAR VOGA 192230Z 35004KT 3000 HZ SCT080 19/11 Q1011 NOSIG,4,350,KT,192230,2025-12-19 22:30:00.000000
METAR VOGA 192300Z 03002KT 3000 HZ SCT080 22/03 Q1011 NOSIG,2,30,KT,192300,2025-12-19 23:00:00.000000
METAR VOGA 192330Z 33002KT 3000 HZ SCT080 17/11 Q1011 NOSIG,2,330,KT,192330,2025-12-19 23:30:00.000000
METAR VAAU 200000Z 00000KT 4000 HZ NSC 12/08 Q1015 NOSIG,0,0,KT,200000,2025-12-20 00:00:00.000000
METAR VOGA 200030Z 03002KT 3000 HZ SCT080 20/11 Q1011 NOSIG,2,30,KT,200030,2025-12-20 00:30:00.000000
METAR VAAU 200100Z 00000KT 3000 BR NSC 11/08 Q1015 NOSIG,0,0,KT,200100,2025-12-20 01:00:00.000000
METAR VAAU 200130Z 00000KT 3000 BR NSC 11/08 Q1015 NOSIG,0,0,KT,200130,2025-12-20 01:30:00.000000
METAR VAJJ 200200Z 07003KT 3000 FU NSC 20/09 Q1013 NOSIG,3,70,KT,200200,2025-12-20 02:00:00.000000
METAR VOSR 200230Z 06007KT 5000 FU NSC 18/09 Q1012 NOSIG,7,60,KT,200230,2025-12-20 02:30:00.000000
METAR VOGA 200300Z 06005KT 5000 HZ FEW080 26/08 Q1013 NOSIG,5,60,KT,200300,2025-12-20 03:00:00.000000
